POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Pro Bowl
OT,78.13,309,5.34,24,26.0,102,4.63,7.8,0
TE,74.9,213,4.57,18,36.5,121,4.44,7.31,0
S,73.5,213,4.54,19,32.5,119,4.32,7.21,0
DE,75.75,258,4.87,21,36.5,117,4.51,7.31,0
OG,75.75,307,5.34,32,26.5,106,4.7,8.15,0
LB,71.8,239,4.56,17,33.0,116,4.25,7.31,1
QB,70.13,207,4.79,19,32.6,115,4.46,7.31,1
DE,74.0,239,4.69,17,34.5,120,4.43,7.31,0
OG,77.13,331,5.24,27,27.5,92,4.93,7.85,1
LB,76.13,257,4.55,26,36.0,118,4.3,7.19,0
QB,78.13,233,4.86,21,34.1,112,4.29,7.31,0
OG,76.63,319,5.52,19,22.5,90,5.03,8.24,0
WR,71.75,197,4.45,22,38.0,120,4.19,6.68,1
OT,76.88,312,4.79,32,32.6,115,4.46,7.31,0
K,72.8,195,4.86,18,31.6,113,4.38,7.31,0
LB,73.13,246,4.8,22,32.0,109,4.46,7.17,1
TE,77.13,256,4.67,17,31.0,113,4.38,7.34,1
TE,78.25,260,4.53,15,38.5,120,4.45,6.9,1
DE,74.6,260,4.65,28,34.0,121,4.14,7.03,1
LB,72.75,227,4.75,20,30.0,107,4.55,7.21,0
RB,72.6,242,4.68,22,34.0,112,4.35,7.4,0
RB,71.8,230,4.88,17,34.5,124,4.35,7.31,0
S,71.75,202,4.64,18,37.0,119,4.3,7.15,0
S,73.5,177,4.77,18,36.0,117,4.15,7.31,1
K,66.5,170,4.79,21,30.4,115,4.43,7.31,0
S,71.0,197,4.84,13,36.0,121,4.3,7.2,0
WR,72.6,180,4.91,19,31.1,112,4.44,7.31,1
CB,72.5,188,4.95,7,30.7,111,4.44,7.31,1
CB,71.8,199,4.89,19,31.8,111,4.39,7.31,0
S,69.75,195,4.46,15,35.0,125,4.15,7.12,0
QB,74.88,230,4.85,21,30.0,115,4.55,7.13,0
DE,76.9,263,4.86,20,36.5,124,4.37,7.31,0
RB,69.5,202,4.61,14,35.5,120,4.43,7.71,0
LB,75.75,242,4.68,19,31.0,118,4.53,7.44,0
